Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
4804127.449,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804161.052999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804195.168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804228.441,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804261.877,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804295.594,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804329.842999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804362.676,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804396.2809999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804430.8889999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804463.628,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804497.482,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804531.612999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804564.34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804599.045,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804632.393999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804665.153999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804699.808999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804732.936,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804765.982,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804800.503,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804833.1899999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804866.808,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804901.328,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804934.010999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4804967.624999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805001.892999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805035.363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805068.442,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805102.043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805136.482999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805169.509,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805202.874,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805237.381,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805270.165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805303.685,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805338.282,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805370.904999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805404.506999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805438.733,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805471.722999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805505.329,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805539.107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805572.540999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805606.1620000005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805639.765999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805673.379,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805707.197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4805740.577,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
